Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPBD177,"Z:","91.02%",Critical,"91.02"
ACMDPBD177,"F:","80.35%",Warning,"80.35"
ACMDPBD177,"E:","73.98%",Warning,"73.98"
ACMDPBD177,"C:","59.2%",Healthy,"59.2"
ACMDPBD187,"G:","96.92%",Critical,"96.92"
ACMDPBD187,"P:","58.79%",Healthy,"58.79"
ACMDPBD187,"F:","52.46%",Healthy,"52.46"
ACMDPBD187,"H:","48.1%",Healthy,"48.1"
ACMDPBD187,"D:","35.79%",Healthy,"35.79"
ACMDPBD187,"I:","22.38%",Healthy,"22.38"
ACMDPBD187,"L:","21.05%",Healthy,"21.05"
ACMDPBD187,"E:","16.67%",Healthy,"16.67"
ACMDPBD187,"K:","14.97%",Healthy,"14.97"
ACMDPBD187,"C:","7.33%",Healthy,"7.33"
ACMDPBD187,"J:","0.6%",Healthy,"0.6"
ACMDPBD188,"D:","57.08%",Healthy,"57.08"
ACMDPBD188,"F:","52.81%",Healthy,"52.81"
ACMDPBD188,"I:","41.78%",Healthy,"41.78"
ACMDPBD188,"H:","28.68%",Healthy,"28.68"
ACMDPBD188,"C:","23.82%",Healthy,"23.82"
ACMDPBD188,"L:","21.05%",Healthy,"21.05"
ACMDPBD188,"E:","16.68%",Healthy,"16.68"
ACMDPBD188,"P:","15.17%",Healthy,"15.17"
ACMDPBD188,"K:","14.97%",Healthy,"14.97"
ACMDPBD188,"J:","0.6%",Healthy,"0.6"
ACMDPBD19,"D:","86.21%",Warning,"86.21"
ACMDPBD19,"C:","62.6%",Warning,"62.6"
ACMDPBD19,"F:","52.99%",Healthy,"52.99"
ACMDPBD19,"E:","33.29%",Healthy,"33.29"
ACMDPBD190,"F:","80.75%",Warning,"80.75"
ACMDPBD190,"D:","65.18%",Warning,"65.18"
ACMDPBD190,"C:","47.51%",Healthy,"47.51"
ACMDPBD190,"S:","25.24%",Healthy,"25.24"
ACMDPBD190,"I:","22.86%",Healthy,"22.86"
ACMDPBD190,"E:","20.24%",Healthy,"20.24"
ACMDPBD192,"X:","99.71%",Critical,"99.71"
ACMDPBD192,"D:","77.87%",Warning,"77.87"
ACMDPBD192,"E:","70.57%",Warning,"70.57"
